,Product_name,Product_price,Product_buy_link
37,Breakfast Couple Cups Ceramic Mug Marbling Milk Coffee CupsCreative Constellation Cup mug ceramic with cover spoon Off,RM16.80 - RM30.40,https://shopee.com.my//Breakfast-Couple-Cups-Ceramic-Mug-Marbling-Milk-Coffee-CupsCreative-Constellation-Cup-mug-ceramic-with-cover-spoon-Off-i.163234480.2896659746?position=37
38,Thermos 0.35L Vacuum Insulated Mug [JDG-350],RM85.50,https://shopee.com.my//Thermos-0.35L-Vacuum-Insulated-Mug-JDG-350--i.33356612.5956131216?position=38
39,Ready Stock Korean Ins Retro Hand-Squeezed Irregular Splash Ink Speck Mug Coffee Milk Juice Cup Cawan,RM3.90,https://shopee.com.my//Ready-Stock-Korean-Ins-Retro-Hand-Squeezed-Irregular-Splash-Ink-Speck-Mug-Coffee-Milk-Juice-Cup-Cawan--i.348760231.11830203764?position=39
40,DINERA / Kitchenware / Coffee / Tea / Mug / Beige / Dark Grey / Grey-Blue / Light Pink / 30cL,RM11.99,https://shopee.com.my//DINERA-Kitchenware-Coffee-Tea-Mug-Beige-Dark-Grey-Grey-Blue-Light-Pink-30cL-i.276489347.4975485569?position=40
41,"Friendship Mug  Personalised With Name/Text, birthday, gift, bestfriend, hadiah, harijadi, family, love",RM15.00,https://shopee.com.my//Friendship-Mug-Personalised-With-Name-Text-birthday-gift-bestfriend-hadiah-harijadi-family-love-i.68640121.8347771503?position=41
42,200ml Starbucks Cup Starbucks Mug Cawan Starbucks Ceramic Mug Coffee Cup Cawan Kopi Corporate Gift Water Mug Tea Cup,RM6.90,https://shopee.com.my//200ml-Starbucks-Cup-Starbucks-Mug-Cawan-Starbucks-Ceramic-Mug-Coffee-Cup-Cawan-Kopi-Corporate-Gift-Water-Mug-Tea-Cup-i.305466754.3551439744?position=42
43,Birthday Gift and Wedding Gift Mr&Mrs Breakfast Couple Cups Ceramic Mug Marbling Milk Coffee Cup,RM28.50,https://shopee.com.my//Birthday-Gift-and-Wedding-Gift-Mr-Mrs-Breakfast-Couple-Cups-Ceramic-Mug-Marbling-Milk-Coffee-Cup-i.302046043.6059224648?position=43
44,Msia Stock450ml Self Stirring Mug Stainless Steel Auto Mix Mug Cawan Kacau Automatik Coffee Cup Gift Present,RM16.90,https://shopee.com.my//Msia-Stock450ml-Self-Stirring-Mug-Stainless-Steel-Auto-Mix-Mug-Cawan-Kacau-Automatik-Coffee-Cup-Gift-Present-i.8260603.10002117391?position=44
45,*IKEA* IKEA DINERA MUG 30CL CAWAN IKEA MUG CUP IKEA WATER CUP WATER MUG CAWAN AIR - 100% FROM IKEA,RM11.82,https://shopee.com.my//*IKEA*-IKEA-DINERA-MUG-30CL-CAWAN-IKEA-MUG-CUP-IKEA-WATER-CUP-WATER-MUG-CAWAN-AIR-100-FROM-IKEA-i.81141550.4183470493?position=45
46,Modern minimalist mug solid color Morandi ceramic coffee cup large capacity milk cup couple cup Nord yrjk016.my12.18,RM18.00 - RM26.00,https://shopee.com.my//Modern-minimalist-mug-solid-color-Morandi-ceramic-coffee-cup-large-capacity-milk-cup-couple-cup-Nord-yrjk016.my12.18-i.208627737.6269890965?position=46
